Tree_ID,Tree_sp,Plot,Cardinal.Direction,Distance.from.stem..cm,Total.Hole.depth..cm,Organic.Sample.Depth..cm,Mineral.Sample.Depth..cm,Soil.Temp,VWC1,VWC2,VWC3,ORP..mV,Time.Collected,Date.Collected,Personel,Notes
BB7,BELE,,S,100,13,6,7,18.3,39.8,NA,,413,14:02,7/21/21,"Ben, Judith, Jon",
BB7,BELE,,W,100,17,5,12,18.5,35.1,NA,,465,13:59,7/21/21,"Ben, Judith, Jon",
BB8,BELE,Ridge,N,100,13,7,6,19.1,20.9,NA,,447,14:45,7/21/21,"Ben, Judith, Jon",
BB8,BELE,,E,100,17,11,6,19.2,20,NA,,577,14:40,7/21/21,"Ben, Judith, Jon",
BB8,BELE,,S,100,17,7,10,19.3,20.6,NA,,452,14:54,7/21/21,"Ben, Judith, Jon",
BB8,BELE,,W,100,19,10,9,19.1,22.3,NA,,374,14:50,7/21/21,"Ben, Judith, Jon",
BB9,BELE,Ridge,N,100,24,9,15,18.2,38.1,NA,,438,15:30,7/21/21,"Ben, Judith, Jon",
BB9,BELE,,E,100,15,6,9,18.1,29.3,NA,,498,15:35,7/21/21,"Ben, Judith, Jon",
BB9,BELE,,S,100,16,7,9,18.3,22.1,NA,,368,15:50,7/21/21,"Ben, Judith, Jon",
BB9,BELE,,W,100,0,NA,,NA,,NA,,NA,,7/21/21,"Ben, Judith, Jon",No W sample
BB10,BELE,Ridge,N,100,9,9,0,17.1,25.3,NA,,403,16:04,7/21/21,"Ben, Judith, Jon",No mineral soil found
BB10,BELE,,E,100,5,5,0,17.5,18.1,NA,,454,16:49,7/21/21,"Ben, Judith, Jon",No mineral soil found
BB10,BELE,,S,100,11,11,0,17.6,24.4,NA,,439,16:53,7/21/21,"Ben, Judith, Jon",No mineral soil found
BB10,BELE,,W,100,14,14,0,17.8,15.2,NA,,425,16:40,7/21/21,"Ben, Judith, Jon",No mineral soil found
BB10',BELE,Ridge,N,100,28,16,12,12,saturated,NA,,358,17:19,7/21/21,"Ben, Judith, Jon",HIT WATER TABLE
BB10',BELE,,E,100,28,8,20,14.3,42.9,NA,,440,17:28,7/21/21,"Ben, Judith, Jon",
BB10',BELE,,S,100,15,10,5,14.3,37.2,NA,,422,17:31,7/21/21,"Ben, Judith, Jon",
BB10',BELE,,W,100,31,9,22,15.1,45.8,NA,,362,17:33,7/21/21,"Ben, Judith, Jon",
WPX5,PIST,Lab,S,220,13.5,1.5,12,18.1,30.6,23.2,27.1,262,16:30,7/27/21,"JDG, LW",
WPX5,PIST,,W,220,20.5,0.5,20,17.7,37.4,32.9,37.7,277,16:35,7/27/21,"JDG, LW",
WPX5,PIST,,N,220,16.5,3,13.5,18.1,19,20.9,30.6,275,16:37,7/27/21,"JDG, LW",
WPX5,PIST,,E,220,18,0.5,17.5,18,17.9,18.9,25.3,344,16:39,7/27/21,"JDG, LW",
WPX7,PIST,Lab,S,200,12,0.5,11.5,18,32.4,28.1,29.9,301,17:57,7/27/21,"JDG, LW",
WPX7,PIST,,W,200,18.5,1.5,17,18.1,15.5,18.9,21.5,322,18:03,7/27/21,"JDG, LW",
WPX7,PIST,,N,200,7,0.5,6.5,18.4,27.1,24.4,25,316,18:15,7/27/21,"JDG, LW",
WPX7,PIST,,E,200,20,0.5,19.5,18.3,22.9,25,21.5,336,18:20,7/27/21,"JDG, LW",
SM11,ACSA,Lab,N,100,24.5,0.5,24,17.5,23.8,27.2,24.2,222,10:00,7/27/21,"Les, Wyatt, Jon",
SM11,ACSA,,E,100,22,0.5,21.5,17.2,28.2,24.3,22,250,10:00,7/27/21,"Les, Wyatt, Jon",
SM11,ACSA,,S,100,22.5,1.5,21,17.3,27.1,21.5,28.9,266,10:00,7/27/21,"Les, Wyatt, Jon",
SM11,ACSA,,W,100,21.5,0.5,21,17.4,17.8,21.5,28.3,243,10:00,7/27/21,"Les, Wyatt, Jon",
SM12,ACSA,Lab,N,100,0,NA,,NA,,NA,,NA,10:35,7/27/21,"Les, Wyatt, Jon",rock
SM12,ACSA,,W,100,16.5,0.5,16,17.3,35.7,32.3,32.1,257,10:37,7/27/21,"Les, Wyatt, Jon",
SM12,ACSA,,S,100,35,0.5,34.5,16.9,34.3,26.1,35.3,327,10:39,7/27/21,"Les, Wyatt, Jon",
SM12,ACSA,,E,100,23.5,1,22.5,16.6,40.7,39.3,42.7,312,10:41,7/27/21,"Les, Wyatt, Jon",
SM13,ACSA,Lab,N,100,19.5,1,18.5,16.9,42.7,34.6,38,150,11:39,7/27/21,"Les, Wyatt, Jon",
SM13,ACSA,,E,100,25,0.5,24.5,16.8,39.8,41.9,41,268,11:37,7/27/21,"Les, Wyatt, Jon",
SM13,ACSA,,S,100,22.5,0.5,22,16.8,41.5,42.2,43.2,320,11:36,7/27/21,"Les, Wyatt, Jon",
SM13,ACSA,,W,100,0,NA,,NA,,NA,,NA,11:35,7/27/21,"Les, Wyatt, Jon",rock
SM14,ACSA,Lab,E,100,18.5,0.5,18,17.2,32.8,26.7,28.3,268,11:57,7/27/21,"Les, Wyatt, Jon",
SM14,ACSA,,S,100,17.5,0.5,17,17.9,27.2,27.5,30.2,297,11:59,7/27/21,"Les, Wyatt, Jon",
SM14,ACSA,,W,100,17.5,0.5,17,17.6,25.2,26.2,24.3,281,12:02,7/27/21,"Les, Wyatt, Jon",
SM14,ACSA,,N,100,23,1,22,17.5,23.8,30.2,25.7,334,12:04,7/27/21,"Les, Wyatt, Jon",
BBX7,BELE,Lab,N,100,24,0.5,23.5,17.9,35,32,32.5,253,13:56,7/27/21,"Les, Wyatt, Jon",
BBX7,BELE,,E,100,24.5,0.5,24,17.8,28.6,35.9,29.9,256,13:57,7/27/21,"Les, Wyatt, Jon",
BBX7,BELE,,S,100,25.5,0.5,25,18,38.3,33.6,32.9,260,13:58,7/27/21,"Les, Wyatt, Jon",
BBX7,BELE,,W,100,18.5,0.5,18,17.8,29.7,28.7,33.4,254,13:59,7/27/21,"Les, Wyatt, Jon",
BBX6,BELE,Lab,W,100,23.5,0.5,23,18.4,34.1,35.4,31.1,222,14:26,7/27/21,"Les, Wyatt, Jon",
BBX6,BELE,,N,100,17,0.5,16.5,18.1,33.7,38.1,36.9,209,14:45,7/27/21,"Les, Wyatt, Jon",
BBX6,BELE,,E,100,21.5,0.5,21,18.5,34.9,35.9,32.5,208,14:47,7/27/21,"Les, Wyatt, Jon",
BBX6,BELE,,S,100,21,0.5,20.5,18.1,36.1,27.5,32.3,209,14:50,7/27/21,"Les, Wyatt, Jon",
BBX1,BELE,Lab,N,100,18,0.5,17.5,19,30.1,28.9,30.2,213,15:33,7/27/21,"Les, Wyatt, Jon",
BBX1,BELE,,E,100,20,0.5,19.5,18.5,27.7,30.8,31.8,156,15:35,7/27/21,"Les, Wyatt, Jon",
BBX1,BELE,,S,100,22.5,0.5,22,18.3,34.2,33.1,32.1,201,15:36,7/27/21,"Les, Wyatt, Jon",
BBX1,BELE,,W,100,24,0.5,23.5,18.2,31.1,31.2,32.1,206,15:32,7/27/21,"Les, Wyatt, Jon",
BBGT1,BELE,Lab,N,100,20.5,0.5,20,18.1,29.6,36.7,35.9,265,16:17,7/27/21,"Les, Wyatt, Jon",
BBGT1,BELE,,E,100,20,0.5,19.5,17.9,24.1,33.2,33.6,282,16:18,7/27/21,"Les, Wyatt, Jon",
BBGT1,BELE,,S,100,16,0.5,15.5,17.9,38.3,37.6,34.5,298,16:20,7/27/21,"Les, Wyatt, Jon",
BBGT1,BELE,,W,100,23.5,0.5,23,17.6,32.8,32.7,36.5,213,16:15,7/27/21,"Les, Wyatt, Jon",
RM304,ACRU,,N,100,1,1,0,17.8,6.7,7.3,7.8,327,16:50,,,"very rocky, probed at steep angle"
RM304,ACRU,,E,100,5,5,0,17.9,9.2,8.9,9.1,233,16:42,,,
RM304,ACRU,,S,100,9,3,6,17.8,3.9,4.7,4.9,190,16:45,,,
RM304,ACRU,,W,100,14,4,10,17.4,9.7,6.9,5.2,114,16:50,,,
H301,TSCA,,N,,4,1,3,17.3,7.4,8.4,8.4,194,17:08,,,
H301,TSCA,,S,,19,2.5,16.5,17.7,7.6,6,7.9,321,,,,
H301,TSCA,,E,,13,5,8,17.6,5.6,5.5,5.9,266,17:15,,,
H301,TSCA,,W,,3,3,0,17.7,5.9,4.7,8.2,364,,,,
HX3,TSCA,Lab,N,128,8,1.5,6.5,16.5,32.5,33.8,30.8,333,10:17,8/2/21,"Jon, Laura, Taylor",
HX3,TSCA,,S,128,5,0,5,16.7,35.2,31.1,32.1,263,10:27,8/2/21,"Jon, Laura, Taylor",
HX3,TSCA,,E,128,24.5,2.5,22,16.4,29.3,25,31.1,286,10:22,8/2/21,"Jon, Laura, Taylor",
HX3,TSCA,,W,128,5.5,0.5,5,16.6,32.2,25.3,32.9,298,10:15,8/2/21,"Jon, Laura, Taylor",
HX2,TSCA,Lab,N,155,18,0,18,16.7,27.1,30.8,29.5,221,10:42,8/2/21,"Jon, Laura, Taylor",
HX2,TSCA,,E,155,6.5,0.5,6,16.6,20.7,31.6,33,222,10:38,8/2/21,"Jon, Laura, Taylor",
HX2,TSCA,,S,155,14.5,0.5,14,16.6,30.1,29.9,22.1,273,10:35,8/2/21,"Jon, Laura, Taylor",
HX2,TSCA,,W,155,14.5,0.5,14,16.7,25.4,25.8,27.2,314,10:45,8/2/21,"Jon, Laura, Taylor",
HX4,TSCA,Lab,N,105,10,0,10,16.9,34.8,34.6,33.7,373,11:15,8/2/21,"Jon, Laura, Taylor",1 sample for both
HX4,TSCA,,S,105,10,0.5,9.5,17.1,22.8,21.6,23.2,381,11:15,8/2/21,"Jon, Laura, Taylor",
HX4,TSCA,,E,105,15,6.5,8.5,16.9,16.5,16.7,20.8,318,11:15,8/2/21,"Jon, Laura, Taylor",
HX4,TSCA,,W,105,14.5,0,14.5,16.9,28.4,19.2,23.9,270,11:15,8/2/21,"Jon, Laura, Taylor",
HX5,TSCA,Lab,N,105,10,0,10,16.9,34.8,34.6,33.7,373,11:15,8/2/21,"Jon, Laura, Taylor",1 sample for both
HX5,TSCA,,S,105,10,0.5,9.5,17.1,22.8,21.6,23.2,381,11:15,8/2/21,"Jon, Laura, Taylor",
HX5,TSCA,,E,105,15,6.5,8.5,16.9,16.5,16.7,20.8,318,11:15,8/2/21,"Jon, Laura, Taylor",
HX5,TSCA,,W,105,14.5,0,14.5,16.9,28.4,19.2,23.9,270,11:15,8/2/21,"Jon, Laura, Taylor",
RM301,ACRU,Ridge,N,100,27.5,5.5,22,16.9,7.3,10.9,6.9,290,13:35,8/2/21,"Jon, Laura, Taylor",
RM301,ACRU,,E,100,23.5,3.5,20,16.9,6.8,10.7,9.5,280,13:38,8/2/21,"Jon, Laura, Taylor",
RM301,ACRU,,W,100,9.5,2.5,7,17.3,9.9,8.7,6.4,278,13:29,8/2/21,"Jon, Laura, Taylor",
RM301,ACRU,,S,100,20,4,16,17.1,10.6,9.1,9.8,275,13:32,8/2/21,"Jon, Laura, Taylor",
RM302,ACRU,,N,100,12,4.5,7.5,17.5,12.8,13.9,13.2,243,14:10,8/2/21,"Jon, Laura, Taylor",
RM302,ACRU,,S,100,15.5,6,9.5,17.7,15.9,16.4,13.3,227,14:10,8/2/21,"Jon, Laura, Taylor",
RM302,ACRU,,E,100,12,6.5,5.5,17.4,16.3,11.3,14.1,289,14:10,8/2/21,"Jon, Laura, Taylor",
RM302,ACRU,,W,100,18.5,6.5,12,17.7,7.4,4.3,7.2,148,14:10,8/2/21,"Jon, Laura, Taylor",
MLGP,KALA,,N,100,23,11.5,11.5,16.9,5.1,5.9,6.3,224,15:03,8/2/21,"Jon, Laura, Taylor",
MLGP,KALA,,S,100,11,6,5,17,12,8.9,10,228,15:10,8/2/21,"Jon, Laura, Taylor",
RM303,ACRU,,N,,19,19,,17.8,11.9,10.1,12,178,15:40,8/2/21,"Jon, Laura, Taylor",N between two rocks
RM303,ACRU,,S,,20.5,6.5,14,18.1,8.4,6.9,7.6,80,16:03,8/2/21,"Jon, Laura, Taylor",
RM303,ACRU,,E,,3,1,2,18.1,9.6,9,12.4,80,15:15,8/2/21,"Jon, Laura, Taylor",
RM303,ACRU,,W,,17,4.5,12.5,17.9,17.9,19.3,18,260,15:50,8/2/21,"Jon, Laura, Taylor",
WP401,PIST,,N,140,22,3.5,18.5,17.3,9.9,10.6,8.3,282,,8/3/21,"Laura, Alex, Jon",
WP401,PIST,,S,140,22.5,2.5,20,17.5,8.8,8.7,7.8,238,,8/2/21,"Laura, Alex, Jon",
WP401,PIST,,E,140,20,2,18,17.5,13,12.8,11.6,227,9:17,8/3/21,"Laura, Alex, Jon",
WP401,PIST,,W,140,24,7,17,17.8,6.6,7.2,11.7,318,,8/2/21,"Laura, Alex, Jon",
AB11,FAGR,,N,100,24.5,4.5,20,16.9,11.1,10,10.8,306,,8/3/21,"Laura, Alex, Jon",
AB11,FAGR,,S,100,13,3,10,17.1,11.8,10.1,11.1,284,9:56,8/2/21,"Laura, Alex, Jon",
AB11,FAGR,,E,100,21.5,4,17.5,17,11.5,13.2,13.2,256,,8/3/21,"Laura, Alex, Jon",
AB11,FAGR,,W,100,21.5,4,17.5,17.3,16.3,10,10.6,195,,8/2/21,"Laura, Alex, Jon",
WP402,PIST,,N,141,22.5,2.5,20,16.4,11.5,11.7,11.5,200,10:45,8/3/21,"Laura, Alex, Jon",
WP402,PIST,,E,141,24,3,21,16.4,11.4,10.3,12,143,,8/2/21,"Laura, Alex, Jon",
WP402,PIST,,S,141,20,4,16,16,11.2,12.3,11.7,102,,8/3/21,"Laura, Alex, Jon",
WP402,PIST,,W,141,22.5,3.5,19,16.5,7.5,7.5,8.7,224,,8/2/21,"Laura, Alex, Jon",
WP403,PIST,,N,170,20,7,13,16.5,15.2,19.4,18.3,254,11:15,8/3/21,"Laura, Alex, Jon",
WP403,PIST,,E,170,13.4,3,10.4,17.2,19.9,17.5,10.2,264,,8/2/21,"Laura, Alex, Jon",
WP403,PIST,,S,170,14.5,7,7.5,17.4,10.6,12.8,10.2,239,,8/3/21,"Laura, Alex, Jon",
WP403,PIST,,W,170,12,2,10,16.5,15.1,13.2,13.6,248,,8/2/21,"Laura, Alex, Jon",
AB10,FAGR,,N,100,0,NA,,NA,,NA,,NA,12:02,8/3/21,"Laura, Alex, Jon",rock
AB10,FAGR,,E,100,18.5,4,14.5,16.7,1.3,4.1,5.7,76,,8/2/21,"Laura, Alex, Jon",
AB10,FAGR,,S,100,16.8,3.3,13.5,16.9,6.9,6.9,10,179,,8/3/21,"Laura, Alex, Jon",
AB10,FAGR,,W,100,17,2.5,14.5,16.5,5.4,8.6,5.3,68,,8/2/21,"Laura, Alex, Jon",
AB9,FAGR,,N,,22,4,18,16.6,5.8,5.2,5.8,276,12:30,8/3/21,"Laura, Alex, Jon",
AB9,FAGR,,E,,20.5,3.5,17,17.1,10.2,13,12.9,159,,8/2/21,"Laura, Alex, Jon",
AB9,FAGR,,S,,21.5,2,19.5,16.4,8.9,7.4,7.9,74,,8/3/21,"Laura, Alex, Jon",
AB9,FAGR,,W,,0,NA,,NA,,NA,,NA,,8/2/21,"Laura, Alex, Jon",rock
RM1,ACRU,,N,120,13.5,1.5,12,14.6,26.9,34.1,10.1,259,14:03,8/3/21,"Laura, Alex, Jon",
RM1,ACRU,,E,120,18,2,16,13.9,42.4,42.6,42.5,270,,8/2/21,"Laura, Alex, Jon",
RM1,ACRU,,S,120,29,8,21,14.1,7.5,9.8,16.8,234,,8/3/21,"Laura, Alex, Jon",
RM1,ACRU,,W,120,24,9,15,14.4,11.2,5.6,11.7,239,,8/2/21,"Laura, Alex, Jon",
RM2,ACRU,,N,121,9.5,5.5,4,15.9,13.8,20.7,28.5,235,14:40,8/3/21,"Laura, Alex, Jon",
RM2,ACRU,,E,121,17,7,10,13.7,39.3,48.7,25.3,227,,8/2/21,"Laura, Alex, Jon",
RM2,ACRU,,S,121,19,7,12,15.9,14.7,24.7,16.5,274,,8/3/21,"Laura, Alex, Jon",
RM2,ACRU,,W,121,17.5,5.5,12,15.1,14.7,15.9,16.4,205,,8/2/21,"Laura, Alex, Jon",
YB15,BEAL,,N,100,12.5,3.5,9,13.7,23.7,38.1,27.1,255,,8/3/21,"Jon, Alex, Laura",
YB15,BEAL,,E,100,16.5,NA,16.5,15.2,26.8,31.5,25.7,327,,8/3/21,"Jon, Alex, Laura",
YB15,BEAL,,S,100,9,1.5,7.5,15.9,17.4,10.6,7.5,397,15:39,8/3/21,"Jon, Alex, Laura",
YB15,BEAL,,W,,19.5,3,16.5,15.8,,NA,,224,,8/3/21,"Jon, Alex, Laura",W closer to tree b/c of road
YB14,BEAL,,N,100,30,20,10,15.2,,NA,,114,16:07,8/3/21,"Jon, Alex, Laura",hit water table
YB14,BEAL,,E,100,37,7,30,15.7,49.5,NA,,274,,8/3/21,"Jon, Alex, Laura","grass, hit water"
YB14,BEAL,,S,100,32,6,26,15.3,,NA,,244,,8/3/21,"Jon, Alex, Laura",hit water table
YB14,BEAL,,W,100,25,7,18,15.3,51.7,NA,,132,,8/3/21,"Jon, Alex, Laura",water
YB11,BEAL,,N,,19,10,9,15.5,saturated,NA,,185,16:42,8/3/21,"Jon, Alex, Laura","fully saturated, mineral = muck"
YB11,BEAL,,E,,10,10,,16.7,5.5,10.4,5.7,352,,8/3/21,"Jon, Alex, Laura","mineral, rocky mix of water"
YB11,BEAL,,S,,24.5,4,20.5,16,25.5,21.8,10.1,343,,8/3/21,"Jon, Alex, Laura",
YB11,BEAL,,W,,22,11,11,14.6,saturated,NA,,85,,8/3/21,"Jon, Alex, Laura",saturated
YB11',BEAL,,N,,34,16,18,16.3,39.9,17.5,19.6,201,17:24,8/3/21,"Jon, Alex, Laura","labels only say 13, but are for 11, 12, 13"
YB11',BEAL,,E,,26,11,15,15.5,saturated,NA,,76,,8/3/21,"Jon, Alex, Laura","labels only say 13, but are for 11, 12, 14; saturated"
YB11',BEAL,,S,,35,6,29,15.7,17.6,50.4,,274,,8/3/21,"Jon, Alex, Laura","labels only say 13, but are for 11, 12, 15"
YB11',BEAL,,W,,28,11,17,15.9,saturated,NA,,22,,8/3/21,"Jon, Alex, Laura","labels only say 13, but are for 11, 12, 16; saturated"
YB12,BEAL,,N,,34,16,18,16.3,39.9,17.5,19.6,201,17:24,8/3/21,"Jon, Alex, Laura","labels only say 13, but are for 11, 12, 13"
YB12,BEAL,,E,,26,11,15,15.5,saturated,NA,,76,,8/3/21,"Jon, Alex, Laura","labels only say 13, but are for 11, 12, 14; saturated"
YB12,BEAL,,S,,35,6,29,15.7,17.6,50.4,,274,,8/3/21,"Jon, Alex, Laura","labels only say 13, but are for 11, 12, 15"
YB12,BEAL,,W,,28,11,17,15.9,saturated,NA,,22,,8/3/21,"Jon, Alex, Laura","labels only say 13, but are for 11, 12, 16; saturated"
YB13,BEAL,,N,,34,16,18,16.3,39.9,17.5,19.6,201,17:24,8/3/21,"Jon, Alex, Laura","labels only say 13, but are for 11, 12, 13"
YB13,BEAL,,E,,26,11,15,15.5,saturated,NA,,76,,8/3/21,"Jon, Alex, Laura","labels only say 13, but are for 11, 12, 14; saturated"
YB13,BEAL,,S,,35,6,29,15.7,17.6,50.4,,274,,8/3/21,"Jon, Alex, Laura","labels only say 13, but are for 11, 12, 15"
YB13,BEAL,,W,,28,11,17,15.9,saturated,NA,,22,,8/3/21,"Jon, Alex, Laura","labels only say 13, but are for 11, 12, 16; saturated"
PB501,BEPA,Lowland,N,105,23.5,5.5,18,17.6,9.1,12.5,7.6,306,17:45,8/4/21,"JG, BG, LL",
PB501,BEPA,,E,105,26,11.5,14.5,17.4,7.6,6.6,6.9,314,17:40,8/4/21,"JG, BG, LL",
PB501,BEPA,,S,105,22,6.5,15.5,17.6,9.3,8.6,7.7,141,17:35,8/4/21,"JG, BG, LL",
PB501,BEPA,,W,105,22.5,3,19.5,17.5,14.5,7.5,11.8,350,17:30,8/4/21,"JG, BG, LL",
WO1,QUAL,Lowland,N,125,24,10,14,15.6,27.1,25.7,17.8,314,9:05,8/4/21,"JG, BG, LL",
WO1,QUAL,,E,125,13,5,8,15.5,25.1,27.5,25.4,357,9:00,8/4/21,"JG, BG, LL",
WO1,QUAL,,S,125,24.5,7,17.5,15,10.2,6.4,9.1,320,9:10,8/4/21,"JG, BG, LL",
WO1,QUAL,,W,125,30.5,8.5,22,15,22.9,5.9,12.6,338,9:07,8/4/21,"JG, BG, LL",
BC1,PRSE,Lowland,N,100,26.5,10.5,16,15.4,9.2,14.2,12.3,300,10:07,8/4/21,"JG, BG, LL",
BC1,PRSE,,E,100,24.5,9,15.5,15.7,14.1,10.6,14,318,10:00,8/4/21,"JG, BG, LL",
BC1,PRSE,,S,100,24.5,8,16.5,15.5,15.4,13.6,14.4,320,10:02,8/4/21,"JG, BG, LL",
BC1,PRSE,,W,100,35,10,25,15.8,9.6,7.9,5.7,386,10:05,8/4/21,"JG, BG, LL",
RM4,ACRU,Lowland,N,126,29,14,15,14.7,10.9,18.1,30.1,317,11:00,8/4/21,"JG, BG, LL",
RM4,ACRU,,E,126,30.5,13.5,17,15.3,6.6,7.8,8.3,318,11:03,8/4/21,"JG, BG, LL",
RM4,ACRU,,S,126,30,12.5,17.5,15.4,8.1,13.9,14.3,322,11:06,8/4/21,"JG, BG, LL",
RM4,ACRU,,W,126,39,17,22,14.7,21.3,20.3,11.2,348,11:15,8/4/21,"JG, BG, LL",
RM5,ACRU,Lowland,N,110,30.5,8,22.5,14.2,saturated,NA,,NA,11:53,8/4/21,"JG, BG, LL","no mineral sample, muck sample taken"
RM5,ACRU,,E,110,37,14.5,22.5,14.6,29.8,NA,,324,11:43,8/4/21,"JG, BG, LL",
RM5,ACRU,,S,110,22.5,14.5,8,16.8,5.1,7,5.5,303,12:19,8/4/21,"JG, BG, LL",
RM5,ACRU,,W,110,36,15,21,15.1,9.2,8.1,13.7,316,12:15,8/4/21,"JG, BG, LL",
RM501,ACRU,Lowland,N,100,23.5,10.5,13,16.9,8.7,9.7,14.9,318,14:30,8/4/21,"JG, BG, LL",
RM501,ACRU,,E,100,22.5,6.5,16,16.8,19.2,25.2,21.7,311,14:20:00,8/4/21,"JG, BG, LL",
RM501,ACRU,,S,100,24,7,17,17,17,14.6,13.4,342,14:25,8/4/21,"JG, BG, LL",
RM501,ACRU,,W,100,29,6,23,16.9,11.4,8.3,12.2,336,14:35,8/4/21,"JG, BG, LL",
AB501,FAGR,Lowland,E,100,22,6,16,17.6,9.4,10.2,3.9,289,,8/4/21,"JG, BG, LL",
AB501,FAGR,,S,100,24,3.5,20.5,17.4,14.2,21.4,14.2,293,15:00,8/4/21,"JG, BG, LL",
AB501,FAGR,,W,100,27.5,3.5,24,17.1,9.6,13.5,10.6,381,15:00,8/4/21,"JG, BG, LL",
AB501,FAGR,,N,100,29,10,19,17.2,5.3,4.9,5.9,300,,8/4/21,"JG, BG, LL",
RM502,ACRU,Lowland,N,100,28.5,3.5,25,17.4,20.1,13.6,21.8,282,15:55,8/4/21,"JG, BG, LL",
RM502,ACRU,,E,100,27,5,22,17.5,22.2,16.6,20.4,335,15:50,8/4/21,"JG, BG, LL",
RM502,ACRU,,S,100,28,5,23,17.5,13.8,12.9,15.1,572,16:05,8/4/21,"JG, BG, LL",
RM502,ACRU,,W,100,27,6,21,17.5,9.4,11.5,9.7,339,16:00,8/4/21,"JG, BG, LL",
RM503,ACRU,Lowland,N,133,21.5,4,17.5,17.8,6.1,5.6,1.8,130,,8/4/21,"JG, BG, LL",
RM503,ACRU,,E,133,28,3,25,17.8,8.5,11.6,9.1,297,,8/4/21,"JG, BG, LL",
RM503,ACRU,,S,133,21,2.5,18.5,17.7,9.5,8.8,10.3,232,,8/4/21,"JG, BG, LL",
RM503,ACRU,,W,133,29,3,26,17.5,9.5,10.2,9.7,354,16:38,8/4/21,"JG, BG, LL",
YB10,BEAL,,N,100,30.5,17.5,13,16.3,7.1,4.4,19.9,215,9:30,8/5/21,"Jon, Laura, Wyatt",
YB10,BEAL,,E,100,32.5,16.5,16,15.8,26.4,49.2,13.4,300,,8/5/21,"Jon, Laura, Wyatt",
YB10,BEAL,,S,100,0,NA,,15.3,saturated,NA,,41,,8/5/21,"Jon, Laura, Wyatt","stream, top and bottom much sample taken"
YB10,BEAL,,W,100,0,NA,,15.3,saturated,NA,,0,,8/5/21,"Jon, Laura, Wyatt","stream, top and bottom much sample taken"
YB9,BEAL,,N,100,31.5,20.5,11,16.5,17.9,20.9,19.7,277,10:07,8/5/21,"Jon, Laura, Wyatt","no mineral, muck"
YB9,BEAL,,E,100,11,11,,15.5,saturated,NA,,245,,8/5/21,"Jon, Laura, Wyatt","saturated, no mineral/muck sample"
YB9,BEAL,,S,100,13.5,7,6.5,15.5,saturated,NA,,51,,8/5/21,"Jon, Laura, Wyatt","saturated, no mineral (muck)"
YB9,BEAL,,W,100,9.5,9.5,,15.5,saturated,NA,,155,,8/5/21,"Jon, Laura, Wyatt",just water and rock underneath organic
YB2,BEAL,,N,100,6,6,>45,17,18,17.3,20.4,228,11:14,8/5/21,"Jon, Laura, Wyatt","no mineral/organic, top and bottom much taken"
YB2,BEAL,,E,100,9,9,>45,14.9,saturated,NA,,82,,8/5/21,"Jon, Laura, Wyatt","no mineral/organic, top and bottom much taken"
YB2,BEAL,,S,100,10.5,10.5,>45,15.3,saturated,NA,,148,,8/5/21,"Jon, Laura, Wyatt","no mineral/organic, top and bottom much taken"
YB2,BEAL,,W,100,15,15,>45,15.4,saturated,NA,,105,,8/5/21,"Jon, Laura, Wyatt","no mineral/organic, top and bottom much taken"
RM10,ACRU,,N,100,23,23,>45,16.5,52,30.8,30.3,246,12:00,8/5/21,"Jon, Laura, Wyatt",
RM10,ACRU,,W,100,10,10,>45,15.5,saturated,NA,,70,,8/5/21,"Jon, Laura, Wyatt",fully saturated
RM10,ACRU,,S,100,14,14,>45,15.3,31.2,36.1,76,181,,8/5/21,"Jon, Laura, Wyatt",
RM10,ACRU,,E,100,14,14,>45,14.9,saturated,NA,,16,,8/5/21,"Jon, Laura, Wyatt",saturated
BB1,BELE,,N,100,27,7.5,19.5,17.3,10.5,6,1.4,278,16:00,8/5/21,"Jon, Laura, Wyatt",
BB1,BELE,,E,100,35,11,24,17.6,4.4,4.9,3.7,301,,8/5/21,"Jon, Laura, Wyatt",
BB1,BELE,,S,100,33.5,19,14.5,18.1,11.8,7.1,7.5,305,,8/5/21,"Jon, Laura, Wyatt",
BB1,BELE,,W,100,30.5,7.5,23,17.2,10.6,10.2,11.4,297,,8/5/21,"Jon, Laura, Wyatt",
AB1,FAGR,,N,100,23,9,14,17.1,5.9,11.9,11.9,305,16:40,8/5/21,"Jon, Laura, Wyatt",
AB1,FAGR,,E,100,19.5,7.5,12,16.9,6,15.7,13.1,273,,8/5/21,"Jon, Laura, Wyatt",
AB1,FAGR,,S,100,15.5,5.5,10,17,11.6,11.4,9.5,355,,8/5/21,"Jon, Laura, Wyatt",
AB1,FAGR,,W,100,27.5,9.5,18,17.1,11.2,7.8,9.3,257,,8/5/21,"Jon, Laura, Wyatt",
AB2/3,FAGR,,N,100,20,8,12,17,13.6,12.8,12.9,235,,8/5/21,"Jon, Laura, Wyatt",one sample for AB 2/3
AB2/3,FAGR,,E,100,25.5,7.5,18,17,5.9,5.9,11.8,262,,8/5/21,"Jon, Laura, Wyatt",one sample for AB 2/4
AB2/3,FAGR,,S,100,25.5,11.5,14,17.4,10.4,9.8,10.4,308,,8/5/21,"Jon, Laura, Wyatt",one sample for AB 2/5
AB2/3,FAGR,,W,100,34,9,25,17.6,10.5,7.1,10.1,228,,8/5/21,"Jon, Laura, Wyatt",one sample for AB 2/6
