"compartment","taxon_subset","gene_metric","rho","p","sig"
"Sapwood","Methylothermaceae","% pmoA",NA,NA,""
"Sapwood","Methylacidiphilaceae","pmoA",0.21686809393201,0.0235068735485621,"*"
"Sapwood","Methylacidiphilaceae","mmoX",-0.0858336583909855,0.374843351464239,""
"Sapwood","Methylacidiphilaceae","pmoA + mmoX",0.190089905241787,0.0477251573835071,"*"
"Sapwood","Methylacidiphilaceae","% pmoA",0.199867467559599,0.0371880146612273,"*"
"Sapwood","Methylocystaceae","pmoA",NA,NA,""
"Sapwood","Methylocystaceae","mmoX",NA,NA,""
"Sapwood","Methylocystaceae","pmoA + mmoX",NA,NA,""
"Sapwood","Methylocystaceae","% pmoA",NA,NA,""
"Sapwood","Beijerinckiaceae","pmoA",0.224102038507115,0.0191499948046767,"*"
"Sapwood","Beijerinckiaceae","mmoX",0.0505435286865297,0.60171206086024,""
"Sapwood","Beijerinckiaceae","pmoA + mmoX",0.175581593298317,0.0678191802431334,""
"Sapwood","Beijerinckiaceae","% pmoA",0.227596891244712,0.0173073506994656,"*"
"Sapwood","Type I Gamma","pmoA",NA,NA,""
"Sapwood","Type I Gamma","mmoX",NA,NA,""
"Sapwood","Type I Gamma","pmoA + mmoX",NA,NA,""
"Sapwood","Type I Gamma","% pmoA",NA,NA,""
"Sapwood","Type II Alpha","pmoA",0.224102038507115,0.0191499948046767,"*"
"Sapwood","Type II Alpha","mmoX",0.0505435286865297,0.60171206086024,""
"Sapwood","Type II Alpha","pmoA + mmoX",0.175581593298317,0.0678191802431334,""
"Sapwood","Type II Alpha","% pmoA",0.227596891244712,0.0173073506994656,"*"
"Sapwood","pMMO expected","pmoA",0.21686809393201,0.0235068735485621,"*"
"Sapwood","pMMO expected","mmoX",-0.0858336583909855,0.374843351464239,""
"Sapwood","pMMO expected","pmoA + mmoX",0.190089905241787,0.0477251573835071,"*"
"Sapwood","pMMO expected","% pmoA",0.199867467559599,0.0371880146612273,"*"
"Sapwood","sMMO only  Methylocella Methyloferula ","pmoA",0.18184972947342,0.0584256939692659,""
"Sapwood","sMMO only  Methylocella Methyloferula ","mmoX",0.228322122010159,0.0169448031684322,"*"
"Sapwood","sMMO only  Methylocella Methyloferula ","pmoA + mmoX",0.200114361250945,0.0369495337097671,"*"
"Sapwood","sMMO only  Methylocella Methyloferula ","% pmoA",0.0955763714277153,0.322854978222268,""
"Mineral Soil","All methanotrophs","pmoA",-0.355824299476481,8.24506297558995e-05,"***"
"Mineral Soil","All methanotrophs","mmoX",-0.443574203017013,5.47410795746356e-07,"***"
"Mineral Soil","All methanotrophs","pmoA + mmoX",-0.364707131316922,5.28367287387949e-05,"***"
"Mineral Soil","All methanotrophs","% pmoA",0.551558476041799,1.15662358249108e-10,"***"
"Mineral Soil","Known only","pmoA",-0.372081653815661,3.6151773291164e-05,"***"
"Mineral Soil","Known only","mmoX",-0.467511026121986,1.07089432194542e-07,"***"
"Mineral Soil","Known only","pmoA + mmoX",-0.380826118034011,2.27754455704101e-05,"***"
"Mineral Soil","Known only","% pmoA",0.558077348004945,6.27154144731917e-11,"***"
"Mineral Soil","Putative only","pmoA",-0.208347246765245,0.0241822178751792,"*"
"Mineral Soil","Putative only","mmoX",-0.216590637196499,0.0189991953345735,"*"
"Mineral Soil","Putative only","pmoA + mmoX",-0.213550550911014,0.0207866368894805,"*"
"Mineral Soil","Putative only","% pmoA",0.290686019125996,0.00147559897366559,"**"
"Mineral Soil","Methylococcaceae","pmoA",NA,NA,""
"Mineral Soil","Methylococcaceae","mmoX",NA,NA,""
"Mineral Soil","Methylococcaceae","pmoA + mmoX",NA,NA,""
"Mineral Soil","Methylococcaceae","% pmoA",NA,NA,""
"Mineral Soil","Methylomonadaceae","pmoA",0.099406302167962,0.286268705885698,""
"Mineral Soil","Methylomonadaceae","mmoX",0.165713658025628,0.0741657983963898,""
"Mineral Soil","Methylomonadaceae","pmoA + mmoX",0.100979836200903,0.278671530596448,""
"Mineral Soil","Methylomonadaceae","% pmoA",-0.12077899920669,0.194578822073679,""
"Mineral Soil","Methylothermaceae","pmoA",NA,NA,""
"Mineral Soil","Methylothermaceae","mmoX",NA,NA,""
"Mineral Soil","Methylothermaceae","pmoA + mmoX",NA,NA,""
"Mineral Soil","Methylothermaceae","% pmoA",NA,NA,""
"Mineral Soil","Methylacidiphilaceae","pmoA",-0.262417884423408,0.00425947237048649,"**"
"Mineral Soil","Methylacidiphilaceae","mmoX",-0.233854411302917,0.0111598268144418,"*"
"Mineral Soil","Methylacidiphilaceae","pmoA + mmoX",-0.263623802334903,0.00408016459369434,"**"
"Mineral Soil","Methylacidiphilaceae","% pmoA",0.136159449883974,0.143247726240467,""
"Mineral Soil","Methylocystaceae","pmoA",NA,NA,""
"Mineral Soil","Methylocystaceae","mmoX",NA,NA,""
"Mineral Soil","Methylocystaceae","pmoA + mmoX",NA,NA,""
"Mineral Soil","Methylocystaceae","% pmoA",NA,NA,""
"Mineral Soil","Beijerinckiaceae","pmoA",-0.314598845249328,0.000551278609902695,"***"
"Mineral Soil","Beijerinckiaceae","mmoX",-0.435264852657812,9.37357030639402e-07,"***"
"Mineral Soil","Beijerinckiaceae","pmoA + mmoX",-0.324341754489015,0.00036030271165977,"***"
"Mineral Soil","Beijerinckiaceae","% pmoA",0.622433480747868,6.8012609027752e-14,"***"
"Mineral Soil","Type I Gamma","pmoA",0.099406302167962,0.286268705885698,""
"Mineral Soil","Type I Gamma","mmoX",0.165713658025628,0.0741657983963898,""
"Mineral Soil","Type I Gamma","pmoA + mmoX",0.100979836200903,0.278671530596448,""
"Mineral Soil","Type I Gamma","% pmoA",-0.12077899920669,0.194578822073679,""
"Mineral Soil","Type II Alpha","pmoA",-0.314598845249328,0.000551278609902695,"***"
"Mineral Soil","Type II Alpha","mmoX",-0.435264852657812,9.37357030639402e-07,"***"
"Mineral Soil","Type II Alpha","pmoA + mmoX",-0.324341754489015,0.00036030271165977,"***"
"Mineral Soil","Type II Alpha","% pmoA",0.622433480747868,6.8012609027752e-14,"***"
"Mineral Soil","pMMO expected","pmoA",-0.25050217227512,0.00644810484227757,"**"
"Mineral Soil","pMMO expected","mmoX",-0.214523166631242,0.0201996628730946,"*"
"Mineral Soil","pMMO expected","pmoA + mmoX",-0.251728463854629,0.00618404389606108,"**"
"Mineral Soil","pMMO expected","% pmoA",0.117420338479839,0.207371840313038,""
"Mineral Soil","sMMO only  Methylocella Methyloferula ","pmoA",NA,NA,""
"Mineral Soil","sMMO only  Methylocella Methyloferula ","mmoX",NA,NA,""
"Mineral Soil","sMMO only  Methylocella Methyloferula ","pmoA + mmoX",NA,NA,""
"Mineral Soil","sMMO only  Methylocella Methyloferula ","% pmoA",NA,NA,""
"Organic Soil","All methanotrophs","pmoA",-0.342781251329723,0.00013556872400782,"***"
"Organic Soil","All methanotrophs","mmoX",-0.511545583548906,2.75820808570988e-09,"***"
"Organic Soil","All methanotrophs","pmoA + mmoX",-0.352793995091368,8.31234309474356e-05,"***"
"Organic Soil","All methanotrophs","% pmoA",0.501133186436832,6.44625968373971e-09,"***"
"Organic Soil","Known only","pmoA",-0.322482945923535,0.000347837942359031,"***"
"Organic Soil","Known only","mmoX",-0.502219990034177,5.90746853626365e-09,"***"
"Organic Soil","Known only","pmoA + mmoX",-0.332431253709294,0.000220977461100377,"***"
"Organic Soil","Known only","% pmoA",0.513749604009061,2.29608303376865e-09,"***"
"Organic Soil","Putative only","pmoA",-0.0430671907609245,0.641885269351427,""
"Organic Soil","Putative only","mmoX",-0.07670321189952,0.407034421551877,""
"Organic Soil","Putative only","pmoA + mmoX",-0.0464471475041869,0.615948033148347,""
"Organic Soil","Putative only","% pmoA",0.0858890620808057,0.35300981159915,""
"Organic Soil","Methylococcaceae","pmoA",NA,NA,""
"Organic Soil","Methylococcaceae","mmoX",NA,NA,""
"Organic Soil","Methylococcaceae","pmoA + mmoX",NA,NA,""
"Organic Soil","Methylococcaceae","% pmoA",NA,NA,""
"Organic Soil","Methylomonadaceae","pmoA",-3.19829490465325e-05,0.999724562212191,""
"Organic Soil","Methylomonadaceae","mmoX",0.114243093994214,0.21603309867001,""
"Organic Soil","Methylomonadaceae","pmoA + mmoX",-3.19829490465325e-05,0.999724562212191,""
"Organic Soil","Methylomonadaceae","% pmoA",-0.107494691745396,0.244575469096056,""
"Organic Soil","Methylothermaceae","pmoA",NA,NA,""
"Organic Soil","Methylothermaceae","mmoX",NA,NA,""
"Organic Soil","Methylothermaceae","pmoA + mmoX",NA,NA,""
"Organic Soil","Methylothermaceae","% pmoA",NA,NA,""
"Organic Soil","Methylacidiphilaceae","pmoA",-0.339542460249564,0.000158255708135822,"***"
"Organic Soil","Methylacidiphilaceae","mmoX",-0.496600614689914,9.24653232870171e-09,"***"
"Organic Soil","Methylacidiphilaceae","pmoA + mmoX",-0.349508740555876,9.77715184579613e-05,"***"
